ID_Chamado,Usuario,Departamento,Data_Abertura,Data_Fechamento,Categoria,Subcategoria,Canal_Atendimento,Prioridade,Status,Tecnico,Tempo_Resolucao_Horas,Dentro_SLA,Nota_CSAT
CH00151,Dr. Vitor Hugo Barros,RH,2026-04-13 06:35:38,,Hardware,Teclado com defeito,E-mail,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00152,Igor Gomes,Comercial,2026-03-31 07:53:12,2026-04-01 11:53:12,Software/ERP,Instalação de software,E-mail,Média,Resolvido,Daniela Lima,28.0,Não,4.0
CH00153,Srta. Ana Luiza Leão,Operações,2026-04-01 17:30:50,,Software/ERP,Acesso negado no sistema,WhatsApp,Média,Em andamento,Carlos Souza,,Pendente,
CH00154,Dr. Oliver Araújo,RH,2026-04-26 11:13:38,2026-04-27 09:13:38,Software/ERP,Erro ao emitir nota,Telefone,Baixa,Resolvido,Daniela Lima,22.0,Sim,5.0
CH00155,Maria Julia Vargas,Operações,2026-04-06 23:24:39,2026-04-08 11:00:39,Hardware,Impressora travada,Telefone,Crítica,Resolvido,Bruno Costa,35.6,Não,5.0
CH00156,Srta. Maria Helena Mendes,Financeiro,2026-05-13 14:27:20,2026-05-15 05:27:20,Redes,Lentidão na VPN,WhatsApp,Média,Reaberto,Bruno Costa,39.0,Não,4.0
CH00157,Dr. Mathias Leão,Comercial,2026-03-18 11:11:26,2026-03-19 12:35:26,Software/ERP,Acesso negado no sistema,Telefone,Crítica,Fechado,Daniela Lima,25.4,Não,4.0
CH00158,Dra. Ísis Pereira,Comercial,2026-05-09 03:35:48,2026-05-09 06:35:48,Software/ERP,Erro ao emitir nota,WhatsApp,Média,Fechado,Daniela Lima,3.0,Sim,4.0
CH00159,Hellena da Mata,RH,2026-04-08 07:20:39,2026-04-09 15:02:39,Hardware,Impressora travada,E-mail,Média,Resolvido,Carlos Souza,31.7,Não,3.0
CH00160,Ana Gomes,Operações,2026-04-29 05:01:24,2026-04-30 13:01:24,Redes,Cabo de rede desconectado,Telefone,Média,Resolvido,Carlos Souza,32.0,Não,5.0
CH00161,Maria Luiza Silveira,Logística,2026-04-19 12:41:25,2026-04-21 04:35:25,Redes,Lentidão na VPN,Portal de TI,Média,Fechado,Ana Silva,39.9,Não,4.0
CH00162,Carolina Pinto,Financeiro,2026-04-02 22:02:02,2026-04-03 08:44:02,Acessos,Reset de senha AD,E-mail,Baixa,Resolvido,Bruno Costa,10.7,Sim,2.0
CH00163,Matteo Pastor,Operações,2026-05-08 18:03:00,,Redes,Lentidão na VPN,WhatsApp,Alta,Em andamento,Carlos Souza,,Pendente,
CH00164,Amanda Barros,Operações,2026-05-11 16:34:50,2026-05-12 21:28:50,Hardware,Teclado com defeito,E-mail,Média,Fechado,Daniela Lima,28.9,Não,5.0
CH00165,Ravi Cirino,Operações,2026-04-28 12:11:31,,Hardware,Impressora travada,Portal de TI,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00166,Mateus Duarte,Operações,2026-03-22 18:37:25,2026-03-24 17:01:25,Hardware,Impressora travada,Telefone,Baixa,Resolvido,Daniela Lima,46.4,Não,4.0
CH00167,Lunna Fernandes,Operações,2026-04-07 10:39:22,2026-04-08 11:03:22,Hardware,Computador não liga,E-mail,Média,Fechado,Carlos Souza,24.4,Não,5.0
CH00168,Otto da Cunha,RH,2026-04-23 16:52:48,,Software/ERP,Instalação de software,WhatsApp,Média,Em andamento,Carlos Souza,,Pendente,
CH00169,Allana Souza,Financeiro,2026-03-25 20:18:26,,Acessos,Criar novo usuário,Telefone,Baixa,Em andamento,Ana Silva,,Pendente,
CH00170,Luiz Fernando Câmara,RH,2026-05-09 06:23:21,2026-05-10 04:17:21,Redes,Cabo de rede desconectado,Telefone,Baixa,Fechado,Carlos Souza,21.9,Sim,5.0
CH00171,Ana Cecília Sá,Comercial,2026-03-24 13:20:39,2026-03-25 07:38:39,Redes,Lentidão na VPN,E-mail,Crítica,Resolvido,Bruno Costa,18.3,Não,5.0
CH00172,Guilherme Almeida,Financeiro,2026-03-20 21:45:25,,Acessos,Criar novo usuário,Telefone,Alta,Em andamento,Daniela Lima,,Pendente,
CH00173,Davi Lucas Melo,Operações,2026-04-01 16:31:42,2026-04-01 17:55:42,Hardware,Teclado com defeito,Telefone,Alta,Resolvido,Ana Silva,1.4,Sim,5.0
CH00174,Helena Martins,RH,2026-03-28 23:59:55,2026-03-29 06:17:55,Acessos,Reset de senha AD,Telefone,Baixa,Fechado,Ana Silva,6.3,Sim,5.0
CH00175,Sr. Danilo Vasconcelos,Comercial,2026-04-11 18:32:34,2026-04-13 05:08:34,Redes,Lentidão na VPN,E-mail,Média,Resolvido,Daniela Lima,34.6,Não,5.0
CH00176,Cauê Pacheco,Logística,2026-04-02 19:03:14,2026-04-03 20:27:14,Redes,Cabo de rede desconectado,WhatsApp,Média,Resolvido,Daniela Lima,25.4,Não,5.0
CH00177,Marcos Vinicius Gonçalves,RH,2026-03-20 09:17:13,2026-03-20 10:35:13,Software/ERP,Erro ao emitir nota,Portal de TI,Baixa,Reaberto,Bruno Costa,1.3,Sim,4.0
CH00178,Joaquim Caldeira,Logística,2026-04-06 03:35:37,,Hardware,Teclado com defeito,Telefone,Média,Em andamento,Bruno Costa,,Pendente,
CH00179,Bárbara Vieira,RH,2026-04-16 04:11:25,2026-04-17 17:35:25,Software/ERP,Erro ao emitir nota,E-mail,Baixa,Fechado,Ana Silva,37.4,Não,5.0
CH00180,Luiz Felipe Nascimento,RH,2026-05-11 20:10:13,2026-05-12 15:34:13,Acessos,Permissão de pasta em rede,E-mail,Baixa,Resolvido,Carlos Souza,19.4,Sim,4.0
CH00181,Maria Eduarda Azevedo,Logística,2026-04-28 11:38:42,2026-04-30 05:14:42,Redes,Cabo de rede desconectado,Telefone,Média,Resolvido,Daniela Lima,41.6,Não,5.0
CH00182,Manuela Albuquerque,Operações,2026-05-06 00:25:33,2026-05-07 23:13:33,Acessos,Permissão de pasta em rede,Portal de TI,Baixa,Fechado,Ana Silva,46.8,Não,5.0
CH00183,Bianca Lopes,RH,2026-04-27 16:15:35,2026-04-28 21:21:35,Software/ERP,Acesso negado no sistema,WhatsApp,Baixa,Fechado,Carlos Souza,29.1,Não,4.0
CH00184,Natália Santos,Logística,2026-04-22 01:24:40,2026-04-23 06:30:40,Acessos,Permissão de pasta em rede,WhatsApp,Baixa,Resolvido,Carlos Souza,29.1,Não,5.0
CH00185,Emanuelly Siqueira,Logística,2026-04-01 17:56:49,2026-04-03 00:50:49,Redes,Wi-Fi instável,Portal de TI,Média,Resolvido,Bruno Costa,30.9,Não,4.0
CH00186,Júlia Pimenta,RH,2026-05-07 13:12:35,2026-05-08 18:36:35,Redes,Wi-Fi instável,E-mail,Baixa,Reaberto,Carlos Souza,29.4,Não,4.0
CH00187,Nina Lopes,Comercial,2026-05-09 03:29:08,2026-05-09 05:29:08,Acessos,Permissão de pasta em rede,Telefone,Alta,Resolvido,Ana Silva,2.0,Sim,5.0
CH00188,Lorenzo da Cruz,RH,2026-05-14 10:01:04,2026-05-15 05:25:04,Hardware,Computador não liga,E-mail,Média,Resolvido,Daniela Lima,19.4,Sim,4.0
CH00189,Rael da Cruz,Operações,2026-03-26 07:23:28,2026-03-26 13:29:28,Acessos,Reset de senha AD,Portal de TI,Alta,Resolvido,Daniela Lima,6.1,Não,4.0
CH00190,Maria Helena Fernandes,Comercial,2026-05-02 00:18:04,2026-05-02 04:18:04,Acessos,Reset de senha AD,Portal de TI,Baixa,Resolvido,Ana Silva,4.0,Sim,5.0
CH00191,Lunna Cirino,Operações,2026-03-20 16:19:40,2026-03-21 07:01:40,Hardware,Impressora travada,E-mail,Baixa,Resolvido,Ana Silva,14.7,Sim,5.0
CH00192,Luiz Gustavo da Luz,Operações,2026-05-04 05:31:32,2026-05-04 17:13:32,Software/ERP,Instalação de software,Portal de TI,Média,Reaberto,Daniela Lima,11.7,Sim,5.0
CH00193,João Guilherme Novais,Logística,2026-04-19 22:29:56,2026-04-21 04:05:56,Software/ERP,Acesso negado no sistema,Telefone,Média,Fechado,Daniela Lima,29.6,Não,5.0
CH00194,Esther Barros,Operações,2026-03-18 21:06:20,2026-03-20 19:48:20,Acessos,Permissão de pasta em rede,Portal de TI,Baixa,Fechado,Bruno Costa,46.7,Não,4.0
CH00195,Sra. Rebeca Novais,Operações,2026-04-10 07:51:08,2026-04-11 14:45:08,Hardware,Impressora travada,WhatsApp,Média,Fechado,Ana Silva,30.9,Não,5.0
CH00196,Sra. Rebeca Machado,Operações,2026-04-10 05:26:50,2026-04-10 13:38:50,Hardware,Impressora travada,Portal de TI,Baixa,Resolvido,Ana Silva,8.2,Sim,2.0
CH00197,Juan Câmara,Operações,2026-03-19 13:37:53,2026-03-20 16:19:53,Software/ERP,Instalação de software,WhatsApp,Média,Resolvido,Bruno Costa,26.7,Não,5.0
CH00198,Srta. Lorena Ribeiro,RH,2026-04-26 03:46:29,2026-04-26 12:22:29,Software/ERP,Instalação de software,WhatsApp,Média,Resolvido,Ana Silva,8.6,Sim,4.0
CH00199,Dr. Yuri Moura,Financeiro,2026-05-13 08:34:28,,Software/ERP,Instalação de software,Telefone,Média,Em andamento,Ana Silva,,Pendente,
CH00200,Luísa Fogaça,Logística,2026-04-20 06:27:53,2026-04-20 20:45:53,Acessos,Reset de senha AD,Portal de TI,Média,Resolvido,Daniela Lima,14.3,Sim,2.0
CH00201,Leandro da Cunha,Logística,2026-04-30 22:45:18,,Acessos,Permissão de pasta em rede,Telefone,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00202,Gael Dias,Financeiro,2026-04-09 06:38:40,2026-04-11 00:02:40,Software/ERP,Acesso negado no sistema,Portal de TI,Baixa,Resolvido,Ana Silva,41.4,Não,5.0
CH00203,Dra. Ester Correia,Comercial,2026-03-29 12:02:04,2026-03-30 01:14:04,Redes,Wi-Fi instável,Telefone,Média,Resolvido,Daniela Lima,13.2,Sim,5.0
CH00204,Sra. Kamilly Silveira,Financeiro,2026-04-07 21:39:52,2026-04-08 05:45:52,Software/ERP,Erro ao emitir nota,Telefone,Alta,Resolvido,Daniela Lima,8.1,Não,5.0
CH00205,Larissa Brito,Financeiro,2026-05-14 03:17:20,2026-05-14 04:53:20,Acessos,Reset de senha AD,Portal de TI,Baixa,Resolvido,Ana Silva,1.6,Sim,2.0
CH00206,Ian Fonseca,Operações,2026-04-05 17:46:43,,Acessos,Permissão de pasta em rede,WhatsApp,Média,Em andamento,Ana Silva,,Pendente,
CH00207,Anthony Gabriel Santos,Logística,2026-04-04 07:34:51,2026-04-05 18:40:51,Software/ERP,Erro ao emitir nota,WhatsApp,Alta,Resolvido,Bruno Costa,35.1,Não,4.0
CH00208,João Guilherme Aparecida,Operações,2026-05-08 18:04:36,2026-05-09 12:58:36,Software/ERP,Instalação de software,WhatsApp,Baixa,Resolvido,Bruno Costa,18.9,Sim,5.0
CH00209,Lavínia Sampaio,Financeiro,2026-03-23 04:30:24,2026-03-24 18:48:24,Software/ERP,Erro ao emitir nota,Telefone,Baixa,Reaberto,Ana Silva,38.3,Não,5.0
CH00210,Rebeca Caldeira,Operações,2026-03-30 03:42:16,,Software/ERP,Acesso negado no sistema,Telefone,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00211,Larissa Melo,Operações,2026-03-19 02:01:56,2026-03-19 18:07:56,Hardware,Impressora travada,Portal de TI,Média,Resolvido,Carlos Souza,16.1,Sim,4.0
CH00212,Manuela Cirino,Comercial,2026-05-03 08:56:12,2026-05-04 08:44:12,Acessos,Reset de senha AD,Portal de TI,Média,Resolvido,Ana Silva,23.8,Sim,5.0
CH00213,Rhavi Camargo,Logística,2026-03-22 21:10:06,2026-03-24 11:28:06,Redes,Lentidão na VPN,Portal de TI,Média,Reaberto,Bruno Costa,38.3,Não,4.0
CH00214,Rebeca Barbosa,Financeiro,2026-03-24 05:42:47,2026-03-24 14:18:47,Acessos,Reset de senha AD,WhatsApp,Média,Fechado,Ana Silva,8.6,Sim,4.0
CH00215,Ana Júlia Cassiano,Operações,2026-05-12 22:00:31,2026-05-13 18:24:31,Hardware,Impressora travada,Telefone,Média,Resolvido,Ana Silva,20.4,Sim,5.0
CH00216,Liz Barros,Logística,2026-04-01 09:06:27,2026-04-02 12:12:27,Acessos,Criar novo usuário,Portal de TI,Média,Fechado,Bruno Costa,27.1,Não,1.0
CH00217,Oliver Pereira,Logística,2026-04-10 23:46:43,2026-04-12 02:10:43,Software/ERP,Instalação de software,E-mail,Média,Resolvido,Bruno Costa,26.4,Não,4.0
CH00218,Heloisa Vasconcelos,Financeiro,2026-05-14 18:31:41,2026-05-16 15:43:41,Software/ERP,Instalação de software,Telefone,Baixa,Resolvido,Carlos Souza,45.2,Não,1.0
CH00219,Milena Macedo,Operações,2026-05-07 15:08:03,2026-05-09 12:02:03,Software/ERP,Erro ao emitir nota,Telefone,Média,Resolvido,Daniela Lima,44.9,Não,4.0
CH00220,Mariane das Neves,RH,2026-04-15 18:20:05,2026-04-17 09:02:05,Software/ERP,Instalação de software,Portal de TI,Crítica,Fechado,Daniela Lima,38.7,Não,5.0
CH00221,Ana Liz Pimenta,Comercial,2026-05-12 02:27:16,2026-05-12 13:09:16,Software/ERP,Instalação de software,E-mail,Média,Resolvido,Ana Silva,10.7,Sim,4.0
CH00222,Heitor da Luz,Financeiro,2026-03-27 12:40:58,2026-03-28 00:40:58,Hardware,Teclado com defeito,WhatsApp,Média,Resolvido,Ana Silva,12.0,Sim,4.0
CH00223,Isaque Cavalcanti,Financeiro,2026-03-25 18:37:56,2026-03-25 23:55:56,Redes,Lentidão na VPN,Telefone,Média,Resolvido,Daniela Lima,5.3,Sim,4.0
CH00224,Emanuel Abreu,Operações,2026-05-10 11:41:13,2026-05-12 09:59:13,Redes,Wi-Fi instável,E-mail,Baixa,Resolvido,Ana Silva,46.3,Não,5.0
CH00225,Olivia da Rocha,Logística,2026-04-26 13:22:00,2026-04-28 07:46:00,Redes,Cabo de rede desconectado,E-mail,Baixa,Fechado,Carlos Souza,42.4,Não,5.0
CH00226,João Pedro Santos,Logística,2026-03-21 01:30:29,2026-03-22 05:00:29,Software/ERP,Acesso negado no sistema,Telefone,Baixa,Fechado,Bruno Costa,27.5,Não,5.0
CH00227,Sra. Ana Sophia Rodrigues,Logística,2026-04-14 08:14:00,2026-04-14 17:56:00,Hardware,Teclado com defeito,Portal de TI,Média,Fechado,Bruno Costa,9.7,Sim,5.0
CH00228,Gael Henrique Lima,Financeiro,2026-04-09 13:22:07,,Software/ERP,Instalação de software,E-mail,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00229,Heloisa Ramos,Logística,2026-03-29 00:54:00,2026-03-29 05:30:00,Hardware,Computador não liga,Portal de TI,Média,Fechado,Bruno Costa,4.6,Sim,4.0
CH00230,Diego Barbosa,Comercial,2026-04-01 08:37:20,,Acessos,Permissão de pasta em rede,Portal de TI,Baixa,Em andamento,Ana Silva,,Pendente,
CH00231,Leandro Peixoto,Financeiro,2026-03-23 16:25:07,2026-03-24 04:07:07,Acessos,Permissão de pasta em rede,Telefone,Baixa,Resolvido,Carlos Souza,11.7,Sim,4.0
CH00232,Pedro Lucas Campos,Financeiro,2026-05-12 03:48:01,2026-05-14 01:00:01,Hardware,Computador não liga,Telefone,Média,Resolvido,Bruno Costa,45.2,Não,5.0
CH00233,Sra. Maria Luiza da Mata,Financeiro,2026-05-02 09:35:50,2026-05-03 03:47:50,Acessos,Criar novo usuário,E-mail,Crítica,Resolvido,Ana Silva,18.2,Não,4.0
CH00234,Sabrina Macedo,Operações,2026-05-05 11:38:11,2026-05-06 05:20:11,Redes,Wi-Fi instável,E-mail,Média,Resolvido,Bruno Costa,17.7,Sim,3.0
CH00235,Ana Cecília Lopes,Operações,2026-03-25 16:53:42,2026-03-26 14:23:42,Acessos,Reset de senha AD,Telefone,Alta,Resolvido,Ana Silva,21.5,Não,4.0
CH00236,Isis Alves,Comercial,2026-04-18 04:30:56,2026-04-19 02:42:56,Acessos,Criar novo usuário,WhatsApp,Média,Resolvido,Daniela Lima,22.2,Sim,5.0
CH00237,Antônio Teixeira,RH,2026-03-26 18:15:32,2026-03-27 05:09:32,Acessos,Permissão de pasta em rede,WhatsApp,Baixa,Resolvido,Ana Silva,10.9,Sim,5.0
CH00238,Ana Cecília Teixeira,Logística,2026-04-13 01:27:29,2026-04-13 15:33:29,Hardware,Teclado com defeito,Portal de TI,Média,Reaberto,Daniela Lima,14.1,Sim,5.0
CH00239,Stella Rezende,Comercial,2026-04-03 21:40:33,2026-04-04 16:04:33,Hardware,Teclado com defeito,WhatsApp,Alta,Resolvido,Bruno Costa,18.4,Não,5.0
CH00240,Fernando Pacheco,Comercial,2026-04-29 19:55:16,2026-04-30 02:25:16,Redes,Wi-Fi instável,Telefone,Baixa,Reaberto,Daniela Lima,6.5,Sim,1.0
CH00241,Rebeca Borges,RH,2026-04-29 05:08:15,2026-04-29 17:26:15,Software/ERP,Erro ao emitir nota,WhatsApp,Alta,Resolvido,Daniela Lima,12.3,Não,5.0
CH00242,Dr. Lucas Gabriel Duarte,Operações,2026-05-02 12:39:19,2026-05-04 07:21:19,Redes,Wi-Fi instável,WhatsApp,Alta,Resolvido,Daniela Lima,42.7,Não,5.0
CH00243,Lucas Jesus,Financeiro,2026-03-28 01:11:14,2026-03-28 03:59:14,Acessos,Permissão de pasta em rede,E-mail,Média,Resolvido,Ana Silva,2.8,Sim,4.0
CH00244,Murilo Teixeira,Operações,2026-05-04 23:58:42,,Hardware,Teclado com defeito,Portal de TI,Crítica,Em andamento,Carlos Souza,,Pendente,
CH00245,Rafael Borges,Comercial,2026-05-10 07:16:11,2026-05-12 06:34:11,Acessos,Permissão de pasta em rede,WhatsApp,Alta,Resolvido,Bruno Costa,47.3,Não,5.0
CH00246,Lorenzo Camargo,Comercial,2026-04-17 10:19:48,2026-04-18 10:19:48,Acessos,Criar novo usuário,Telefone,Média,Resolvido,Daniela Lima,24.0,Sim,1.0
CH00247,Agatha Ribeiro,Financeiro,2026-04-26 03:14:53,,Acessos,Reset de senha AD,Portal de TI,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00248,Maria Sophia Aragão,Financeiro,2026-05-09 13:47:11,2026-05-10 16:59:11,Hardware,Impressora travada,Portal de TI,Alta,Fechado,Bruno Costa,27.2,Não,2.0
CH00249,Maria Cecília Pinto,Comercial,2026-04-05 02:33:03,2026-04-06 00:27:03,Hardware,Computador não liga,Telefone,Baixa,Resolvido,Ana Silva,21.9,Sim,5.0
CH00250,Melina Teixeira,Financeiro,2026-05-05 07:01:30,2026-05-06 19:43:30,Hardware,Impressora travada,Portal de TI,Baixa,Fechado,Carlos Souza,36.7,Não,4.0
CH00251,João Felipe Novaes,Logística,2026-03-22 21:42:57,2026-03-24 18:42:57,Redes,Lentidão na VPN,E-mail,Baixa,Reaberto,Bruno Costa,45.0,Não,2.0
CH00252,Pedro Lucas Sampaio,Comercial,2026-03-30 14:44:05,2026-03-31 06:32:05,Acessos,Criar novo usuário,Portal de TI,Baixa,Resolvido,Carlos Souza,15.8,Sim,5.0
CH00253,Arthur Pires,Financeiro,2026-05-03 22:54:44,2026-05-04 21:30:44,Acessos,Permissão de pasta em rede,Portal de TI,Alta,Resolvido,Carlos Souza,22.6,Não,4.0
CH00254,Emanuel das Neves,Operações,2026-05-16 00:13:32,2026-05-16 11:13:32,Software/ERP,Instalação de software,Telefone,Média,Resolvido,Carlos Souza,11.0,Sim,5.0
CH00255,Yuri Jesus,Comercial,2026-05-10 08:59:59,2026-05-11 03:29:59,Acessos,Criar novo usuário,Portal de TI,Baixa,Resolvido,Daniela Lima,18.5,Sim,4.0
CH00256,Danilo Martins,Financeiro,2026-03-26 22:38:42,2026-03-27 22:26:42,Software/ERP,Erro ao emitir nota,Telefone,Média,Reaberto,Bruno Costa,23.8,Sim,5.0
CH00257,Daniela Monteiro,RH,2026-03-29 07:10:04,2026-03-30 14:10:04,Redes,Wi-Fi instável,WhatsApp,Média,Fechado,Daniela Lima,31.0,Não,5.0
CH00258,Júlia Leão,Financeiro,2026-04-15 05:32:19,,Redes,Lentidão na VPN,WhatsApp,Média,Em andamento,Bruno Costa,,Pendente,
CH00259,Isabelly Marques,Logística,2026-05-03 17:45:26,2026-05-04 23:33:26,Acessos,Criar novo usuário,WhatsApp,Baixa,Resolvido,Ana Silva,29.8,Não,4.0
CH00260,Matheus Correia,Operações,2026-05-10 09:59:33,2026-05-10 11:17:33,Software/ERP,Erro ao emitir nota,Telefone,Média,Resolvido,Bruno Costa,1.3,Sim,4.0
CH00261,Catarina Azevedo,Financeiro,2026-05-15 02:06:10,,Hardware,Computador não liga,Portal de TI,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00262,Manuela Viana,Financeiro,2026-04-13 17:09:18,2026-04-14 11:21:18,Hardware,Teclado com defeito,Portal de TI,Baixa,Resolvido,Ana Silva,18.2,Sim,5.0
CH00263,Alexandre da Paz,Operações,2026-05-06 04:33:59,2026-05-07 17:09:59,Acessos,Permissão de pasta em rede,Telefone,Alta,Resolvido,Ana Silva,36.6,Não,5.0
CH00264,Rebeca Cassiano,RH,2026-04-15 21:08:14,2026-04-16 01:32:14,Software/ERP,Instalação de software,WhatsApp,Média,Resolvido,Bruno Costa,4.4,Sim,4.0
CH00265,Rafaela Ferreira,Comercial,2026-04-30 05:58:58,2026-05-02 00:40:58,Redes,Wi-Fi instável,WhatsApp,Alta,Resolvido,Bruno Costa,42.7,Não,5.0
CH00266,Ísis Garcia,Comercial,2026-04-19 04:05:35,2026-04-21 02:17:35,Acessos,Reset de senha AD,E-mail,Baixa,Fechado,Bruno Costa,46.2,Não,5.0
CH00267,Sr. Isaque Oliveira,Financeiro,2026-05-01 02:28:54,2026-05-02 11:10:54,Acessos,Criar novo usuário,WhatsApp,Alta,Resolvido,Carlos Souza,32.7,Não,5.0
CH00268,Noah Aparecida,Operações,2026-04-24 01:50:19,,Redes,Cabo de rede desconectado,Telefone,Média,Em andamento,Carlos Souza,,Pendente,
CH00269,Sra. Maria Helena Gomes,Financeiro,2026-04-17 18:51:23,,Acessos,Permissão de pasta em rede,Portal de TI,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00270,Ana Carolina Cardoso,RH,2026-04-01 15:52:58,2026-04-02 23:46:58,Software/ERP,Erro ao emitir nota,WhatsApp,Média,Resolvido,Carlos Souza,31.9,Não,5.0
CH00271,Luísa Brito,RH,2026-05-05 15:52:30,2026-05-06 22:28:30,Software/ERP,Acesso negado no sistema,WhatsApp,Média,Resolvido,Ana Silva,30.6,Não,4.0
CH00272,Vinicius Marques,Logística,2026-04-29 15:26:23,2026-05-01 04:08:23,Redes,Wi-Fi instável,Telefone,Média,Fechado,Daniela Lima,36.7,Não,5.0
CH00273,Srta. Maria Luísa Rezende,Operações,2026-03-19 09:12:51,,Redes,Lentidão na VPN,Portal de TI,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00274,Ravy Viana,Operações,2026-04-01 21:08:22,,Redes,Lentidão na VPN,E-mail,Média,Em andamento,Bruno Costa,,Pendente,
CH00275,Dr. Bruno Farias,Financeiro,2026-04-12 14:59:59,2026-04-13 04:17:59,Hardware,Computador não liga,Telefone,Baixa,Resolvido,Carlos Souza,13.3,Sim,5.0
CH00276,Luiza Pires,Logística,2026-05-08 16:52:55,2026-05-08 21:04:55,Hardware,Teclado com defeito,E-mail,Média,Resolvido,Daniela Lima,4.2,Sim,5.0
CH00277,Ana Carolina Pinto,Operações,2026-05-04 06:27:07,,Acessos,Permissão de pasta em rede,Telefone,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00278,João Pedro da Conceição,Comercial,2026-03-24 12:53:01,2026-03-26 04:29:01,Hardware,Impressora travada,E-mail,Média,Resolvido,Daniela Lima,39.6,Não,4.0
CH00279,Beatriz Teixeira,Financeiro,2026-03-26 16:03:03,2026-03-28 14:33:03,Acessos,Criar novo usuário,Portal de TI,Crítica,Resolvido,Daniela Lima,46.5,Não,5.0
CH00280,Eloah Sales,Operações,2026-03-27 15:39:02,2026-03-28 09:27:02,Hardware,Teclado com defeito,E-mail,Média,Resolvido,Ana Silva,17.8,Sim,2.0
CH00281,Augusto Duarte,RH,2026-04-15 23:15:30,2026-04-17 09:21:30,Software/ERP,Instalação de software,Telefone,Média,Reaberto,Daniela Lima,34.1,Não,5.0
CH00282,Luiz Henrique Freitas,Financeiro,2026-03-23 08:13:09,,Software/ERP,Instalação de software,Telefone,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00283,Joaquim Moura,Logística,2026-04-28 17:01:29,,Acessos,Criar novo usuário,Telefone,Crítica,Em andamento,Ana Silva,,Pendente,
CH00284,Emilly Cavalcante,Financeiro,2026-04-26 21:36:07,2026-04-28 16:36:07,Redes,Wi-Fi instável,Portal de TI,Baixa,Fechado,Bruno Costa,43.0,Não,5.0
CH00285,Mateus Pinto,Logística,2026-04-03 21:23:35,2026-04-05 20:35:35,Acessos,Permissão de pasta em rede,WhatsApp,Baixa,Resolvido,Ana Silva,47.2,Não,4.0
CH00286,Cecília da Conceição,Comercial,2026-04-10 06:37:33,,Hardware,Impressora travada,Telefone,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00287,Jade Marques,RH,2026-05-01 16:00:32,2026-05-02 16:18:32,Redes,Cabo de rede desconectado,Portal de TI,Média,Fechado,Daniela Lima,24.3,Não,5.0
CH00288,Alexia Martins,Comercial,2026-04-11 16:24:22,2026-04-13 08:24:22,Software/ERP,Acesso negado no sistema,Telefone,Baixa,Fechado,Bruno Costa,40.0,Não,4.0
CH00289,Ísis Castro,RH,2026-04-14 19:40:56,2026-04-15 00:46:56,Acessos,Permissão de pasta em rede,Portal de TI,Baixa,Resolvido,Ana Silva,5.1,Sim,4.0
CH00290,Manuella Pastor,Financeiro,2026-03-25 01:33:45,2026-03-26 18:21:45,Hardware,Teclado com defeito,E-mail,Baixa,Fechado,Bruno Costa,40.8,Não,4.0
CH00291,Mariana Sales,Logística,2026-04-15 22:31:54,2026-04-16 20:55:54,Hardware,Computador não liga,Telefone,Média,Resolvido,Ana Silva,22.4,Sim,4.0
CH00292,Liz Costa,Financeiro,2026-04-11 04:13:22,2026-04-12 02:07:22,Redes,Lentidão na VPN,E-mail,Alta,Fechado,Carlos Souza,21.9,Não,5.0
CH00293,Bianca da Costa,Comercial,2026-04-24 05:51:07,2026-04-24 09:21:07,Hardware,Impressora travada,E-mail,Alta,Fechado,Daniela Lima,3.5,Sim,5.0
CH00294,Maria Alice Oliveira,Comercial,2026-04-23 22:05:42,,Acessos,Criar novo usuário,Telefone,Média,Em andamento,Daniela Lima,,Pendente,
CH00295,Sra. Alícia Ribeiro,Operações,2026-04-15 14:53:04,2026-04-17 07:35:04,Software/ERP,Instalação de software,WhatsApp,Baixa,Resolvido,Bruno Costa,40.7,Não,4.0
CH00296,Anthony Nunes,Logística,2026-04-25 07:44:46,2026-04-25 13:50:46,Hardware,Teclado com defeito,Telefone,Baixa,Resolvido,Bruno Costa,6.1,Sim,5.0
CH00297,Sara da Paz,Financeiro,2026-03-22 15:43:59,2026-03-23 15:19:59,Hardware,Teclado com defeito,Telefone,Média,Resolvido,Carlos Souza,23.6,Sim,5.0
CH00298,Maria Câmara,RH,2026-04-09 05:39:59,,Acessos,Criar novo usuário,Portal de TI,Baixa,Em andamento,Ana Silva,,Pendente,
CH00299,Isis Rocha,Logística,2026-04-05 08:29:29,2026-04-06 03:11:29,Acessos,Permissão de pasta em rede,Telefone,Baixa,Resolvido,Daniela Lima,18.7,Sim,5.0
CH00300,Aylla Pires,Comercial,2026-03-31 04:10:14,2026-03-31 06:10:14,Software/ERP,Erro ao emitir nota,E-mail,Baixa,Resolvido,Carlos Souza,2.0,Sim,4.0
